slots,mode,scenario,wall_seconds,cpu_seconds,cpu_percent_one_core,scans,events,p50_us,p99_us,checksum
4,busy,idle,2.001156,0.350743,17.5270,213026,0,0.000,0.000,0
4,wait,idle,2.001101,0.000013,0.0006,1,0,0.000,0.000,0
4,busy,events,1.582693,0.275968,17.4366,165483,200,8.000,29.000,0
4,wait,events,1.672597,0.003159,0.1889,201,200,18.000,705.000,0
64,busy,idle,2.001187,0.361311,18.0548,174676,0,0.000,0.000,0
64,wait,idle,2.002440,0.000020,0.0010,1,0,0.000,0.000,0
64,busy,events,1.570131,0.283712,18.0693,155672,200,8.000,31.000,0
64,wait,events,1.660646,0.003568,0.2149,201,200,26.000,633.000,0
1024,busy,idle,2.001155,0.457229,22.8483,180746,0,0.000,0.000,0
1024,wait,idle,2.001278,0.000046,0.0023,1,0,0.000,0.000,0
1024,busy,events,1.575425,0.362695,23.0220,145268,200,8.000,35.000,0
1024,wait,events,1.665342,0.005323,0.3196,201,200,29.000,692.000,0
4,scan,idle,2.000000,1.980355,99.0178,1007212544,0,0,0,0
64,scan,idle,2.000018,1.985309,99.2646,93572096,0,0,0,0
1024,scan,idle,2.000101,1.983423,99.1661,3092480,0,0,0,0
