group,case,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/adjustment-results,h2-baseline-burst,393216,131072,0,16384,1,1000,1000,1,0,1000,2,2,0,0,16,16,2.735386,393216000,137.0921690759549,137,4.628,16.85,14.374,0.049,20.982,0.189,8.408000000000001,262144,43380543,673471,50870378,710454,84035072,59442688,10612399,673471,9,1,0,1,6.6,4.046,1.7099550000000001,0.6251238399260653
research/transport-memory/adjustment-results,h2-baseline-late,393216,131072,0,16384,1,1000,1000,1,0,1000,2,2,0,3000,16,16,5.655872,393216000,66.30277347153543,283,2.091,11.351,18.29,0.055,13.526,0.571,3009.141,262144,58738944,673487,75616706,710454,107267520,68896320,10612399,673487,9,1,0,1,5.878,3.575,2.198413,0.3886956776956763
research/transport-memory/adjustment-results,h2-recv1k-burst,393216,131072,0,1024,1,1000,1000,1,0,1000,2,2,0,0,16,16,2.74001,393216000,136.86081437658987,137,3.384,6.604,15.094,0.091,13.51,0.27799999999999997,13.847,262144,37488936,673471,49791121,710454,89245184,69617152,10597039,673471,9,1,0,1,6.154,3.632,1.677694,0.6122948456392495
research/transport-memory/adjustment-results,h2-recv1k-late,393216,131072,0,1024,1,1000,1000,1,0,1000,2,2,0,3000,16,16,6.403209,393216000,58.564385451107405,320,5.455,24.957,18.724,1.575,26.627000000000002,1.174,3000.248,262144,76552719,673471,79767667,710454,107415104,73320000,10597022,673471,9,1,0,1,6.751,4.293,3.101406,0.48435183046500585
research/transport-memory/adjustment-results,h2-rate32k-burst,393216,131072,32768,16384,1,1000,1000,1,0,1000,2,2,0,0,16,16,12.553332,393216000,29.872546985931706,628,1.091,2.495,14.958,0.106,12.687999999999999,0.617,4.899,262144,46496792,673487,59365794,710454,76481792,63948288,10612416,673487,9,1,0,1,5.644,3.486,3.669519,0.29231434331538436
research/transport-memory/adjustment-results,h2-rate32k-late,393216,131072,32768,16384,1,1000,1000,1,0,1000,2,2,0,3000,16,16,13.647122,393216000,27.47832107018608,682,0.983,6.786,14.835,0.06499999999999999,14.186,0.14100000000000001,3001.479,262144,57566176,673487,66079855,710454,100763072,65013184,10612416,673487,9,1,0,1,5.756,3.529,3.289123,0.2410122075555564
research/transport-memory/adjustment-results,h2-rate128k-burst,393216,131072,131072,16384,1,1000,1000,1,0,1000,2,2,0,0,16,16,3.688859,393216000,101.65745017632824,184,1.214,6.541,14.955,0.24000000000000002,12.588999999999999,0.122,0.855,262144,36414427,673487,42129685,710454,74433984,57329088,10612399,673487,9,1,0,1,6.07,3.575,1.703181,0.4617094337300504
research/transport-memory/adjustment-results,h2-rate128k-late,393216,131072,131072,16384,1,1000,1000,1,0,1000,2,2,0,3000,16,16,6.111778,393216000,61.35694064804055,306,1.924,13.074,24.381,0.058,13.068,0.423,3001.167,262144,59436678,673487,75399470,710454,101582080,63915328,10612416,673487,9,1,0,1,5.693,3.414,2.363375,0.3866918922775009
research/transport-memory/adjustment-results,h2-split10-burst,393216,131072,0,16384,10,100,1000,1,0,1000,2,2,0,0,16,16,2.483657,393216000,150.98703242839088,125,1.366,1.891,15.033,0.041999999999999996,4.107,0.107,1.63,262144,36798075,1877635,41357971,1912244,59786496,47039744,6721701,1877635,18,10,9,1,46.6397,4.8632,1.649976,0.6643332795148444
research/transport-memory/adjustment-results,h2-split10-late,393216,131072,0,16384,10,100,1000,1,0,1000,2,2,0,3000,16,16,5.190512,393216000,72.24720798256512,260,1.255,2.812,16.791,0.054,7.101,0.213,3003.4610000000002,262144,117392188,1877635,126265268,1912244,162547456,46319360,6721701,1877635,18,10,9,1,46.9741,4.889399999999999,2.026053,0.39033779326586665
