group,case,upload_buffer,request_base,growth,mixed,link_up_B_s,link_down_B_s,one_way_delay_ms,request_bytes,request_to_response_ratio,upload_peer_complete_seconds,upload_MiB_s,curl_posttransfer_p95_ms,server_request_complete_p95_ms,first_SSE_p95_ms,after_request_first_SSE_p95_ms,last_SSE_capture_p95_ms,overlap_upload_response_ms,staging_seconds,staging_control_p95_ms,staging_control_max_ms,logical_file_written,logical_file_read,os_disk_read,os_disk_written,proxy_forwarded_up_case,proxy_forwarded_down_case,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/asymmetric-h2-results,h2-wan1024-u16,16384,1048576,0,0,33554432,67108864,40,1048576000,110.45781101864532,31.863253,31.384115112163844,31161.39,31388.956,31681.333,292.645,41.551,27562.773,2.682506,6.551,56.206,1058069000,2106645000,442691584,147390464,1050741514,11463487,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,35.10548,9493000,0.25788652613906804,1756,4.518,26.911,17.022,1.975,40.927,0.472,13.835999999999999,22035,86755392,673487,86977369,710454,94913920,65144192,10612489,673487,9,1,0,1,91.911,89.103,30.596523999999995,0.8715597678766961
research/transport-memory/asymmetric-h2-results,h2-local1024-u16,16384,1048576,0,0,1073741824,67108864,0,1048576000,110.45781101864532,4.004101,249.74395001524684,3951.054,3994.383,4246.731,256.828,3.468,2916.59,2.232921,0.378,2.206,1058069000,2106645000,1064960,1048576000,1050743974,10831020,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,7.212772,9493000,1.2551665691976026,361,6.019,22.694,14.629,0.102,21.821,0.251,12.052999999999999,23504,86754389,673471,86754389,710454,95094080,50644288,10612472,673471,9,1,0,1,12.452,7.603,6.2283550000000005,0.8635175214189497
research/transport-memory/asymmetric-h2-results,h2-growing-u16,16384,65536,1,0,33554432,67108864,40,65536000,6.903613188665332,2.248918,27.79114222928537,182.327,2172.543,2465.353,293.392,42.377,1455.769,0.344065,0.572,0.572,75029000,140565000,212992,65536000,1641993283,42467252,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,5.491253,9493000,1.6486638451450937,274,3.888,20.89,14.53,0.131,26.436999999999998,0.252,2.447,23504,86754406,673487,86975591,710454,95044992,50578816,10612489,673487,9,1,0,1,90.949,88.43,5.284578,0.9623628705506738
research/transport-memory/asymmetric-h2-results,h2-growing-u16,16384,65536,1,0,33554432,67108864,40,262144000,27.61445275466133,7.985682,31.30602996713368,7605.519,7833.654,8125.587,293.528,43.048,6173.732,0.637959,0.316,0.353,271637000,533781000,106496,262144000,1641993283,42467252,9493,0,32768,16384,1,1000,1000,0,1,1000,2,2,0,0,16,16,11.236682,9493000,0.8056853691903474,562,4.065,13.192,42.079,0.19799999999999998,17.527,0.313,7.481,18036,86705708,673487,86867754,673607,96503168,53970304,10612489,673487,9,0,0,0,0.0,0.0,9.524598000000001,0.8476343817507695
research/transport-memory/asymmetric-h2-results,h2-growing-u16,16384,65536,1,0,33554432,67108864,40,1048576000,110.45781101864532,31.491154,31.75494934228196,30944.099,31141.508,31433.174,292.587,41.765,24922.964,2.299555,0.379,4.038,1058069000,2106645000,376430592,243269632,1641993283,42467252,9493,0,32768,16384,1,1000,1000,0,2,1000,2,2,0,0,16,16,34.737387,9493000,0.2606192079342218,1737,3.958,19.893,18.243,0.539,29.270999999999997,1.258,7.352,11235,86705708,673487,86705708,673607,101025216,59278784,10612489,673487,9,0,0,0,0.0,0.0,31.213286000000004,0.8985501989542277
research/transport-memory/asymmetric-h2-results,h2-growing-u16,16384,65536,1,0,33554432,67108864,40,262144000,27.61445275466133,7.978694,31.333448807536673,7571.642,7821.248,8113.512,292.805,42.109,6175.048,0.708362,0.301,0.41,271637000,533781000,36864,113246208,1641993283,42467252,9493,0,32768,16384,1,1000,1000,0,3,1000,2,2,0,0,16,16,11.222266,9493000,0.806720343791934,561,3.822,26.31,14.796,0.08,27.421999999999997,0.201,11.211,16586,86705708,673487,86705708,673607,101025216,25380224,10612215,673487,9,0,0,0,0.0,0.0,9.725131999999995,0.8665925402231596
research/transport-memory/asymmetric-h2-results,h2-overlap-stall-u16,16384,1048576,0,1,33554432,67108864,40,532480000,56.09185715790583,16.674103,30.455161516034778,15907.129,16093.648,16385.406,292.796,83.631,16118.129,1.221698,0.253,0.408,541973000,1074453000,143360,532480000,533659042,10841153,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,3000,16,16,19.921008,9493000,0.45445643541955966,995,3.151,19.132,35.404,0.5820000000000001,26.669,0.043000000000000003,3010.109,151888,64359205,673471,64411173,710454,72336640,44467456,10612472,673471,9,1,0,1,90.285,87.549,15.51716,0.7789344796207099
research/transport-memory/asymmetric-h2-results,h2-wan1024-u64,65536,1048576,0,0,33554432,67108864,40,1048576000,110.45781101864532,32.067312,31.184403607012648,30868.061,31067.453,31358.545,292.361,41.513,27939.681,2.184441,0.278,1.176,1058069000,2106645000,24576,645922816,1050691461,11558498,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,35.310738,9493000,0.25638745600968554,1766,3.75,49.854,20.927,0.46900000000000003,61.049,0.752,12.978,10691,136011420,673487,136129352,710454,160155200,58639936,10612472,673487,9,1,0,1,101.799,97.257,31.786542999999998,0.900194807596488
research/transport-memory/asymmetric-h2-results,h2-local1024-u64,65536,1048576,0,0,1073741824,67108864,0,1048576000,110.45781101864532,3.924837,254.78765105404378,3859.708,3902.719,4155.921,257.388,3.513,3100.047,2.061102,0.3,12.878,1058069000,2106645000,36864,1048576000,1050708335,10864964,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,7.132313,9493000,1.2693259936355192,357,5.515,32.309,16.05,0.507,43.395999999999994,0.513,3.059,22035,135906389,673471,136063608,710446,160187904,65488384,10612472,673471,9,1,0,1,7.402,4.635,6.249158000000001,0.8761755127684387
research/transport-memory/asymmetric-h2-results,h2-growing-u64,65536,65536,1,0,33554432,67108864,40,65536000,6.903613188665332,2.247555,27.807995799880313,124.817,2171.679,2464.543,293.949,43.565,1540.012,0.33767,0.398,0.398,75029000,140565000,8192,0,1641981391,42482994,9493,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,5.489073,9493000,1.6493186163937938,274,3.461,15.567,14.694,0.537,34.165,0.54,18.012,23504,136009620,673487,136078319,710454,160335488,37602944,10612489,673487,9,1,0,1,88.724,86.406,5.234402,0.9536040056308233
