group,case,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/capture-results,h1-callback-slow,0,1000,1,0,1000,0,16,16,7.554393,65536000,8.273331821630142,377,4821.057,5175.594,55.827,43.003,5192.239,0.0,43.003,0,21974249,155603411,198788864,74057472,67689,2635826,24,1000,0,1000,637.05188,392.085074,1.671517,0.22126423658393202
research/transport-memory/capture-results,h1-callback-stall,0,100,1,0,0,3000,16,16,3.425295,6553600,1.8246603577210136,171,2859.109,3009.378,13.604,3003.902,3014.127,0.0,3003.901,0,2224043,16060211,24495680,22578752,57736,2635826,24,100,0,100,94.02994,72.76183999999999,0.131957,0.038524273091806685
research/transport-memory/capture-results,h1-between-slow,0,1000,1,1,1000,0,16,16,9.108841,65536000,6.861465690311205,455,24.625,259.584,13.892,0.348,279.143,0.36000000000000004,10.194999999999999,262144,38315852,153897883,225609408,62228160,67688,2635826,24,1000,0,1000,650.588634,402.52342300000004,3.225993,0.3541606445869458
research/transport-memory/capture-results,h1-between-stall,0,100,1,1,0,3000,16,16,3.257733,6553600,1.9185120450325426,163,2835.123,2985.516,10.787,0.011,27.391,0.024,3005.5170000000003,262144,3793058,16060211,28935680,26330624,57735,2635826,24,100,0,100,57.71186,38.578489999999995,0.139511,0.04282456542632561
research/transport-memory/capture-results,h1-worker-slow,0,1000,1,2,1000,0,16,16,6.697289,65536000,9.332134241183262,335,73.61,305.257,19.972,0.19,313.298,0.723,20.113,262144,38202009,155603411,228132608,79578880,67688,2635826,24,1000,0,1000,694.1643310000001,427.229627,3.5584499999999997,0.5313269294486171
research/transport-memory/capture-results,h1-worker-stall,0,100,1,2,0,3000,16,16,3.228582,6553600,1.935834369391888,161,1.56,20.542,16.745,0.038,30.009,0.04,3000.792,262144,3734212,16060211,25494912,23954816,57736,2635826,24,100,0,100,59.32279,38.63825,0.23357300000000003,0.07234538258591544
research/transport-memory/capture-results,h1-worker-reuse1,0,1000,1,2,100,0,16,1,1.950334,65536000,32.04579318209086,97,188.905,265.37,11.923,0.081,276.74,0.25999999999999995,2.685,262144,35265634,155603411,212240192,64767808,42563,673496,9,1000,0,1000,648.214987,386.32624200000004,1.828769,0.937669650429106
research/transport-memory/capture-results,h1-worker-reuse1,1,1000,1,2,100,0,16,1,1.863148,65536000,33.54537589069682,93,159.002,236.939,12.485,0.030000000000000002,245.827,0.13899999999999998,1.909,262144,35344415,146270297,212240192,69125952,42564,673640,9,999,2,997,605.9262822822823,387.18486186186186,1.7974220000000005,0.9647231459873292
research/transport-memory/capture-results,h1-worker-reuse1,2,1000,1,2,100,0,16,1,2.013525,65536000,31.04009138202903,101,155.642,250.814,11.677,0.17200000000000001,262.15500000000003,0.06999999999999999,11.601,262144,35569444,147521888,212240192,72173376,42563,673640,9,999,2,997,636.8112762762763,412.2873973973974,1.8688770000000003,0.9281618057883564
research/transport-memory/capture-results,h1-worker-reuse16,0,1000,1,2,100,0,16,16,1.974107,65536000,31.659884697232723,99,182.734,258.313,12.043,0.303,278.401,0.307,2.6830000000000003,262144,35603924,155603411,219285376,70944640,67687,2635826,24,1000,0,1000,649.4595089999999,402.441992,1.87024,0.9473853240984403
research/transport-memory/capture-results,h1-worker-reuse16,1,1000,1,2,100,0,16,16,2.05234,65536000,30.45304384263816,103,177.115,267.376,12.255,0.297,274.716,0.449,7.485,262144,36947265,155220994,219285376,69044160,67687,2635970,24,984,2,982,631.2037520325204,402.49498780487806,1.9115029999999997,0.9313773546293498
research/transport-memory/capture-results,h1-worker-reuse16,2,1000,1,2,100,0,16,16,1.968894,65536000,31.743709920391854,98,212.07,284.602,19.69,0.345,294.383,0.17,15.762000000000002,262144,35031229,149174122,219285376,55232448,67688,2635970,24,984,2,982,648.1297947154471,407.98462195121954,1.8518490000000005,0.9405529195578841
research/transport-memory/capture-results,h1-worker-reuse1000,0,1000,1,2,100,0,16,1000,2.021308,65536000,30.920572223530506,101,306.616,411.626,29.321,0.036000000000000004,435.299,2.755,3.584,262144,35342592,155603411,218171136,209569536,1715889,131364674,1008,1000,0,1000,791.5156629999999,426.585669,1.775452,0.878367868726587
research/transport-memory/capture-results,h1-worker-reuse1000,1,1000,1,2,100,0,16,1000,0.842677,65536000,74.1683942957978,42,8.451,32.961,11.744,0.104,45.07,0.107,4.603999999999999,262144,35170606,131364794,228345600,221546240,1764889,131364674,1008,0,0,0,0.0,0.0,0.801596,0.9512494111029492
research/transport-memory/capture-results,h1-worker-reuse1000,2,1000,1,2,100,0,16,1000,0.837107,65536000,74.66190104729742,42,24.143,63.488,11.104,0.043000000000000003,63.92,0.2,4.819999999999999,262144,35006625,131364794,228345600,219039488,1764889,131364674,1008,0,0,0,0.0,0.0,0.793126,0.9474607188806209
research/transport-memory/capture-results,h1-worker-error,0,8,1,2,1000,0,2,16,0.14908,458752,2.9346659511671587,7,0.134,0.134,8.6,0.009000000000000001,4.046,0.009000000000000001,1.323,32768,338984,1795795,5620928,5588160,42661,1458428,15,8,0,8,6.975375,4.174625,0.013260999999999998,0.08895224040783471
research/transport-memory/capture-results,h2-callback-slow,0,1000,2,0,1000,0,16,16,11.341273,65536000,5.51084521111519,566,2580.706,2845.326,17.891,26.511,2869.8179999999998,0.0,26.511,0,36661470,710454,42976512,38323456,10612380,673471,9,1,0,1,6.721,4.34,0.706163,0.06226487978906777
research/transport-memory/capture-results,h2-callback-stall,0,100,2,0,0,3000,16,16,3.137253,6553600,1.9921887077644043,157,2854.116,2987.143,11.269,3002.05,3009.254,0.0,3002.05,0,2788280,710454,6685888,6685888,698964,673471,9,1,0,1,4.187,3.652,0.034239000000000006,0.010913687866423272
