group,case,synthetic_tokens_s,tokens_per_event,events_s,delta_event_bytes,content_B_s_per_stream,sse_B_s_per_stream,terminal_body_bytes_per_stream,tls_ciphertext_bytes,terminal_capture_p95_ms,terminal_capture_max_ms,streaming_gap_p95_events,streaming_gap_max_events,fixture_schedule_max_late_ms,payload,warm,rate,receive_buffer,host_cap,local_stream_cap,server_stream_cap,known_length,burst,n,protocol,strategy,delay_us,stall_ms,slots,cache,capture_seconds,verified_bytes,verified_MiB_s,control_samples,control_p95_ms,control_max_ms,generator_lateness_max_ms,callback_max_ms,perform_max_ms,unpause_max_ms,write_max_ms,queue_peak_bytes,curl_live_sample_max,tls_live_sample_max,curl_peak,tls_peak,process_physical_highwater,idle_physical,idle_curl_live,idle_tls_live,idle_fds,new_connections,resumed_new_connections,full_handshakes,new_connection_setup_mean_ms,handshake_phase_mean_ms,cpu_seconds,mean_cpu_cores
research/transport-memory/paced-results,slow50-unlimited,50,5,10,136,200,1360,2133,16667879,72.982,76.064,1,1,2.698,15733,0,0,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.228171,15733000,1.4669443852688355,511,1.037,7.615,15.004,0.832,18.113,0.446,7.815,36304,36419547,673471,36661487,710454,43992128,38208576,10612442,673471,9,1,0,1,6.483,3.775,6.34922,0.6207581003485374
research/transport-memory/paced-results,slow50-rate8k,50,5,10,136,200,1360,2133,16667936,50.917,51.961,1,1,0.567,15733,0,8192,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.171859,15733000,1.4750654742677354,508,1.279,2.097,15.016,0.054,12.822,2.144,9.745999999999999,36304,36421004,673487,36661184,710454,45646912,45614144,10612459,673487,9,1,0,1,5.77,3.59,6.058390999999999,0.5956031242666655
research/transport-memory/paced-results,slow50-rate32k,50,5,10,136,200,1360,2133,16667914,58.697,60.386,1,1,0.511,15733,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.186906,15733000,1.4728866664735623,510,1.16,2.4,14.842,0.089,16.643,0.09899999999999999,7.590999999999999,36304,36422730,673471,36661150,710454,45712512,37733504,10612425,673471,9,1,0,1,5.884,3.645,6.612678,0.649135075949459
research/transport-memory/paced-results,normal100-unlimited,100,5,20,136,400,2720,4133,33190376,67.417,69.632,1,1,0.511,31333,0,0,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.196958,31333000,2.9304305613455535,510,0.913,10.965,14.853,0.056,12.947000000000001,0.627,10.699,68304,36421644,673487,36661504,710454,46712000,42648768,10612459,673487,9,1,0,1,5.548,3.4,8.54673,0.8381646761710698
research/transport-memory/paced-results,normal100-rate8k,100,5,20,136,400,2720,4133,33190376,67.168,69.352,1,1,1.167,31333,0,8192,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.193128,31333000,2.931531651123878,510,1.178,1.82,14.924,0.082,15.25,0.13699999999999998,9.334,68304,36422890,673471,36661150,710454,46302336,46269568,10612425,673471,9,1,0,1,6.139,3.61,6.942794,0.6811249696854587
research/transport-memory/paced-results,normal100-rate32k,100,5,20,136,400,2720,4133,33190398,73.239,75.624,1,2,0.608,31333,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.204239,31333000,2.9283396200301692,510,1.007,17.48,15.044,0.855,21.562,0.1,20.410999999999998,68304,36422107,673487,36661167,710454,45909248,42910976,10612442,673487,9,1,0,1,5.915,3.629,9.599642000000001,0.9407504077472119
research/transport-memory/paced-results,fast1000-batched-unlimited,1000,50,20,316,4000,6320,40133,105305163,187.62,191.026,3,6,7.238,103333,0,0,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.333368,103333000,9.536680406350285,517,1.228,21.434,18.387,2.2390000000000003,22.797,2.251,9.972,262144,41362663,673471,55607677,710454,87099072,63407808,10612425,673471,9,1,0,1,6.219,3.819,9.087622,0.879444339928666
research/transport-memory/paced-results,fast1000-batched-rate8k,1000,50,20,316,4000,6320,40133,105325445,3970.95,4863.83,1,1,0.915,103333,0,8192,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,14.982889,103333000,6.577238083870676,749,1.222,8.043,24.394,0.503,13.238,0.784,6.772,131072,36419530,673471,36661150,710454,51266752,48383168,10612425,673471,9,1,0,1,6.111,3.656,7.057605000000001,0.4710443359755252
research/transport-memory/paced-results,fast1000-batched-rate32k,1000,50,20,316,4000,6320,40133,105305838,980.95,982.117,1,1,0.663,103333,0,32768,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,11.100288,103333000,8.87779021023662,555,1.24,6.94,15.017,0.223,12.328000000000001,0.832,9.145,262144,38620281,673487,50778460,710454,77907456,58623488,10612442,673487,9,1,0,1,5.747,3.543,8.397302,0.7564940657395555
research/transport-memory/paced-results,fast1000-fine-unlimited,1000,10,100,156,4000,15600,40133,205368635,119.96,122.539,39,55,31.782,196133,0,0,16384,1,1000,1000,0,0,1000,2,2,0,0,16,16,10.252638,196133000,18.243792934043615,512,0.783,10.56,20.474,2.536,16.66,2.6159999999999997,15.584999999999999,262144,37292682,673487,37866080,710446,59131264,52512128,10612442,673487,9,1,0,1,5.977,3.644,12.217668999999999,1.1916610144628144
