group,case,burst,phase,samples,curl_live_sample_max,tls_live_sample_max,app_bytes_sample_max,scratch_bytes_sample_max,physical_sample_max,rss_sample_max,fds_sample_max,curl_peak_cumulative,tls_peak_cumulative,max_physical_cumulative,max_rss_cumulative
research/transport-memory/adjustment-results,h2-baseline-burst,-1,cold,1,0,0,0,0,1475200,2768896,4,0,0,1540736,2768896
research/transport-memory/adjustment-results,h2-baseline-burst,0,burst_start,1,9792,103552,0,0,2442112,6946816,8,9792,103552,2442112,6946816
research/transport-memory/adjustment-results,h2-baseline-burst,0,transfer_start,1,3397744,103552,318400,1024000,6702080,11173888,2008,3397744,103552,6702080,11173888
research/transport-memory/adjustment-results,h2-baseline-burst,0,active,26,43380543,673471,318400,368075188,78104064,83607552,2009,50870378,710454,84035072,83607552
research/transport-memory/adjustment-results,h2-baseline-burst,0,capture_complete,1,10612399,673471,318400,393216000,59409920,96436224,1009,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-burst,0,validation_delayed,1,10612399,673471,318400,393216000,59459072,96387072,1009,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-burst,0,captures_released,1,10612399,673471,0,0,59459072,95797248,9,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-burst,0,serviced_idle,1,10612399,673471,0,0,59442688,95223808,9,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-burst,0,multi_released,1,0,537905,0,0,46990848,93241344,4,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-burst,0,cleaned,1,0,0,0,0,46925312,85786624,4,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-burst,0,retained_idle,1,0,0,0,0,46925312,85049344,3,50870378,710454,84035072,96436224
research/transport-memory/adjustment-results,h2-baseline-late,-1,cold,1,0,0,0,0,1573504,2867200,4,0,0,1622656,2867200
research/transport-memory/adjustment-results,h2-baseline-late,0,burst_start,1,9792,103552,0,0,2491264,6995968,8,9792,103552,2507648,6995968
research/transport-memory/adjustment-results,h2-baseline-late,0,transfer_start,1,3397744,103552,318400,1024000,6800448,11255808,2008,3397744,103552,6800448,11255808
research/transport-memory/adjustment-results,h2-baseline-late,0,active,55,58738944,673487,318400,385211033,91948480,145752064,2009,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,capture_complete,1,10612399,673487,318400,393216000,68896320,145735680,1009,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,validation_delayed,1,10612399,673487,318400,393216000,68896320,145735680,1009,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,captures_released,1,10612399,673487,0,0,68896320,145735680,9,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,serviced_idle,1,10612399,673487,0,0,68896320,145735680,9,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,multi_released,1,0,537905,0,0,47302208,128974848,4,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,cleaned,1,0,0,0,0,47285824,128974848,4,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-baseline-late,0,retained_idle,1,0,0,0,0,47285824,128974848,3,75616706,710454,107267520,145752064
research/transport-memory/adjustment-results,h2-recv1k-burst,-1,cold,1,0,0,0,0,1507904,2818048,4,0,0,1573440,2818048
