group,case,n,request_bytes,response_bytes,items,curl_peak,tls_peak,physical_peak,cold_physical,retained_idle_physical,loaded_physical,curl_after_transfer,curl_after_easy_cleanup,curl_serviced_cache,tls_serviced_cache,cache_fds_including_captures,max_fds,application_record_bytes,completed_scratch_bytes,transfer_seconds,connections_created,max_socket_readable
results,h1-n1,1,1024,65536,1,102257,710459,3671040,1770112,3671040,3556288,101998,32662,32662,673496,9,10,48,66560,0.325792,1,0
results,h1-n100,100,1024,65536,1,7141680,16060211,33605120,1458752,20350464,26789376,7133474,199874,199874,13624874,207,307,4800,6656000,0.434284,100,65712
results,h1-n1000,1000,1024,65536,1,71150284,155603411,283232064,1458752,48957248,127796864,71065924,1729924,1729924,131364674,2007,3007,48000,66560000,1.557208,1000,65712
results,h2-n1,1,1024,65536,1,159405,710454,3671232,1475200,3671232,3622080,158684,89359,89359,673487,9,10,48,66560,0.313569,1,0
results,h2-n100,100,1024,65536,1,7705188,710454,13272576,1606272,11961856,13190656,7641185,699032,699032,673471,108,208,4800,6656000,0.366369,1,1585980
results,h2-n1000,1000,1024,65536,1,85822638,710454,107759296,1606272,30852800,107693760,80035301,10612448,10612448,673471,1008,2008,48000,66560000,0.7285349999999999,1,3924692
results,h1-cache1,1000,1024,65536,1,71150286,153742835,283920384,1639040,55625728,126355200,71065924,1729924,42613,673496,1008,3007,48000,66560000,1.6037620000000001,1000,65712
results,h1-cache16,1000,1024,65536,1,71150286,147851011,281659392,1475200,61966272,121898688,71065925,1729925,67949,2635970,1023,3007,48000,66560000,1.828062,1000,65712
results,h1-buffer1024,100,1024,1048576,1,7141592,16060211,32687680,1688192,21808704,26084928,6980552,42636,42636,2635826,123,307,4800,104960000,1.113252,100,984421
results,h1-buffer1048576,100,1024,1048576,1,8184666,16060211,33621440,1737344,24724928,27018688,8028106,1090190,1090190,2635826,123,307,4800,104960000,0.642976,100,836677
results,h1-request1048576-items1,100,1048576,65536,1,7141680,16060211,32736768,1458752,22251008,20776384,7043273,106978,57997,2635826,123,307,4800,111411200,0.987025,100,65712
results,h1-request1048576-items4096,100,1048576,65536,4096,7141680,16060211,32785920,1557120,22169088,26248704,7133473,199873,57997,2635826,123,307,4800,111411200,0.8770549999999999,100,65712
results,h1-request1024-items128,100,1024,65536,128,7141680,16060211,34211392,1622656,25347648,27657792,7133473,199873,57997,2635826,123,307,4800,6656000,0.43322799999999995,100,542
results,h1-pause-65536,8,1024,65536,1,666059,1795795,6260032,1458752,6260032,5686528,599172,44484,44484,1589250,23,31,384,532480,0.82258,8,49218
results,h1-pause-1048576,8,1024,1048576,1,666301,1795795,6112448,1655424,6112448,5555392,599190,44486,44486,1589250,23,31,384,8396800,0.837055,8,885924
